Course Subject,Course Number,Course Section,Course Title,Component,Room,Days,Time,Instructor
ARTHIST,   3,04,Introduction to World Architecture,Discussion,ART350,F,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,04,Introduction to World Architecture,Discussion,ART350,F,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,04,Introduction to World Architecture,Discussion,ART350,F,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,04,Introduction to World Architecture,Discussion,ART350,F,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,03,Introduction to World Architecture,Discussion,380-381T,Th,10:30a-11:20a,"Brown-Hedjazi,A"
ARTHIST,   3,03,Introduction to World Architecture,Discussion,380-381T,Th,10:30a-11:20a,"Brown-Hedjazi,A"
ARTHIST,   3,03,Introduction to World Architecture,Discussion,380-381T,Th,10:30a-11:20a,"Brown-Hedjazi,A"
ARTHIST,   3,03,Introduction to World Architecture,Discussion,380-381T,Th,10:30a-11:20a,"Brown-Hedjazi,A"
ARTHIST,   3,02,Introduction to World Architecture,Discussion,380-381T,Th,8:30a-9:20a,"Brown-Hedjazi,A"
ARTHIST,   3,02,Introduction to World Architecture,Discussion,380-381T,Th,8:30a-9:20a,"Brown-Hedjazi,A"
ARTHIST,   3,02,Introduction to World Architecture,Discussion,380-381T,Th,8:30a-9:20a,"Brown-Hedjazi,A"
ARTHIST,   3,02,Introduction to World Architecture,Discussion,380-381T,Th,8:30a-9:20a,"Brown-Hedjazi,A"
ARTHIST,   3,05,Introduction to World Architecture,Discussion,ART350,W,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,05,Introduction to World Architecture,Discussion,ART350,W,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,05,Introduction to World Architecture,Discussion,ART350,W,12:30p-1:20p,"Choudhury,I"
ARTHIST,   3,05,Introduction to World Architecture,Discussion,ART350,W,12:30p-1:20p,"Choudhury,I"
ARTHIST, 105B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,1:30p-2:20p,"Smith,D"
ARTHIST, 105B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,1:30p-2:20p,"Smith,D"
ARTHIST, 105B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,1:30p-2:20p,"Smith,D"
ARTHIST, 105B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,1:30p-2:20p,"Smith,D"
ARTHIST, 105B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,3:30p-4:20p,"Smith,D"
ARTHIST, 105B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,3:30p-4:20p,"Smith,D"
ARTHIST, 105B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,3:30p-4:20p,"Smith,D"
ARTHIST, 105B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,110-114,F,3:30p-4:20p,"Smith,D"
ARTHIST, 305B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,1:30p-2:20p,"Smith,D"
ARTHIST, 305B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,1:30p-2:20p,"Smith,D"
ARTHIST, 305B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,1:30p-2:20p,"Smith,D"
ARTHIST, 305B,02,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,1:30p-2:20p,"Smith,D"
ARTHIST, 305B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,3:30p-4:20p,"Smith,D"
ARTHIST, 305B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,3:30p-4:20p,"Smith,D"
ARTHIST, 305B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,3:30p-4:20p,"Smith,D"
ARTHIST, 305B,03,Medieval Journeys: Introduction through the Art and Architecture,Discussion,,F,3:30p-4:20p,"Smith,D"
ARTHIST, 144B,02,Modern Design from the Eiffel Tower to Yves Saint Laurent,Discussion,,TBA,TBA,"Pellolio,N"
ARTHIST, 344B,02,Modern Design from the Eiffel Tower to Yves Saint Laurent,Discussion,,TBA,1:30p-2:20p,"Pellolio,N"
ARTHIST, 298,01,Individual Work: Art History,Individual Study,,TBA,TBA,staff
